::1 - - [24/Sep/2025:13:15:35 +0000] "GET /users/profile HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
::1 - - [24/Sep/2025:13:15:35 +0000] "GET /edrm-notifications/user/64749777ade91471d281f1de?limit=10&sortBy=createdAt&sortOrder=desc HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
::1 - - [24/Sep/2025:13:15:42 +0000] "GET /user-admin HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
::1 - - [24/Sep/2025:13:16:31 +0000] "POST /assets HTTP/1.1" 201 315 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
::1 - - [24/Sep/2025:13:16:47 +0000] "GET /users/check-auth HTTP/1.1" 200 15 "-" "Next.js Middleware"
::1 - - [24/Sep/2025:13:16:50 +0000] "GET /users/profile HTTP/1.1" 200 863 "-" "Next.js Middleware"
::1 - - [24/Sep/2025:13:16:50 +0000] "GET /users/check-auth HTTP/1.1" 200 15 "-" "Next.js Middleware"
::1 - - [24/Sep/2025:13:17:30 +0000] "GET /users/check-auth HTTP/1.1" 200 15 "-" "Next.js Middleware"
::1 - - [24/Sep/2025:13:17:36 +0000] "GET /users/profile HTTP/1.1" 200 863 "-" "Next.js Middleware"
::1 - - [24/Sep/2025:13:17:39 +0000] "GET /users/check-auth HTTP/1.1" 200 15 "-" "Next.js Middleware"
